Unnamed: 0,Formula,Composto,Ant (A),Ant (B),Ant (C),Max,Min
262.0,C6H12,"2,3 dimethyl-2-butene","16,0043","2798,63","-47,71",375.0,250.0
263.0,C6H12,"3,3 dimethyl-1-butene","15,3755","2326,80","-48,24",340.0,225.0
265.0,C6H12O,methyl isobutyl keton,"15,7165","2893,66","-70,75",425.0,285.0
266.0,C6H12O2,n-butyl acetate,"16,1836","3151,09","-69,15",435.0,295.0
267.0,C6H12O2,isobutyl acetate,"16,1714","3092,83","-66,15",427.0,289.0
268.0,C6H12O2,ethyl butyrate,"15,9987","3127,60","-60,15",432.0,288.0
270.0,C6H12O2,n-propyl propionete,"16,8641","3558,18","-47,86",420.0,292.0
271.0,C6H14,n-hexane,"15,8366","2697,55","-48,78",370.0,245.0
272.0,C6H14,2-methyl pentane,"15,7476","2614,38","-46,58",370.0,240.0
273.0,C6H14,3-methyl pentane,"15,7701","2653,43","-46,02",365.0,240.0
274.0,C6H14,"2,2 dimethyl butane","15,5536","2489,50","-43,81",350.0,230.0
275.0,C6H14,"2,3 dimethyl butane","15,6802","2595,44","-44,25",354.0,235.0
276.0,C6H14O,1-hexanol,"18,0994","4055,45","-76,49",430.0,308.0
277.0,C6H14O,ethyl butyl ether,"16,0477","2921,52","-55,15",400.0,265.0
278.0,C6H14O,diisopropyl ether,"16,3417","2895,73","-43,15",364.0,249.0
279.0,C6H15N,dypropylamine,"16,5939","3259,08","-55,15",422.0,302.0
280.0,C7H15N,triethylamine,"15,8853","2882,38","-51,15",400.0,260.0
281.0,C7F14,perfluoromethylcychoro,"15,7130","2510,57","-61,93",385.0,290.0
282.0,C7F16,perfluoro-n-heptane,"15,9747","2719,68","-64,50",390.0,270.0
284.0,C7H6O,benzaldehyde,"16,3501","3748,62","-66,12",460.0,300.0
285.0,C7H6O2,benzoic acid,"17,1634","4190,70","-125,20",560.0,405.0
286.0,C7H8,toluene,"16,0137","3096,52","-53,67",410.0,280.0
287.0,C7H8O,methyl phenyl ether,"16,2394","3430,82","-69,58",440.0,370.0
288.0,C7H8O,benzyl alcohol,"17,4582","4384,81","-73,15",603.0,385.0
289.0,C7H8O,o-cresol,"15,9148","3305,37","-108,00",480.0,370.0
290.0,C7H8O,m-cresol,"17,2878","4274,42","-74,09",480.0,370.0
291.0,C7H8O,p-cresol,"16,1989","3479,39","-111,30",480.0,370.0
292.0,C7H9N,"2,3 dimethylpyridine","17,1492","4219,74","-33,04",440.0,420.0
